date,Single,Semi-Detached,Row,Apartment,All
Jan-90,777,8,35,"1,615","2,435"
Feb-90,439,2,276,815,"1,532"
Mar-90,502,0,37,"1,467","2,006"
Apr-90,716,36,190,898,"1,840"
May-90,711,10,172,"1,091","1,984"
Jun-90,555,14,162,85,816
Jul-90,646,30,113,"1,540","2,329"
Aug-90,234,6,118,561,919
Sep-90,906,52,141,405,"1,504"
Oct-90,628,4,229,256,"1,117"
Nov-90,502,8,294,371,"1,175"
Dec-90,451,10,100,505,"1,066"
Jan-91,236,2,72,702,"1,012"
Feb-91,183,0,171,303,657
Mar-91,418,2,98,159,677
Apr-91,640,4,352,495,"1,491"
May-91,819,0,120,324,"1,263"
Jun-91,"1,367",24,258,567,"2,216"
Jul-91,"1,517",24,257,683,"2,481"
Aug-91,"1,169",26,256,498,"1,949"
Sep-91,915,70,342,"1,299","2,626"
Oct-91,885,40,575,235,"1,735"
Nov-91,784,10,354,554,"1,702"
Dec-91,526,4,175,300,"1,005"
Jan-92,430,0,166,188,784
Feb-92,352,6,121,852,"1,331"
Mar-92,405,10,88,797,"1,300"
Apr-92,995,158,420,"1,041","2,614"
May-92,"1,025",52,345,"1,257","2,679"
Jun-92,947,70,179,346,"1,542"
Jul-92,968,168,157,"1,599","2,892"
Aug-92,853,50,112,466,"1,481"
Sep-92,765,18,299,838,"1,920"
Oct-92,714,28,147,294,"1,183"
Nov-92,796,166,227,431,"1,620"
Dec-92,777,110,64,473,"1,424"
Jan-93,501,116,28,2,647
Feb-93,543,62,263,174,"1,042"
Mar-93,439,46,176,703,"1,364"
Apr-93,876,44,75,476,"1,471"
May-93,"1,038",18,247,528,"1,831"
Jun-93,707,22,205,51,985
Jul-93,780,14,134,379,"1,307"
Aug-93,636,56,288,2,982
Sep-93,606,98,211,374,"1,289"
Oct-93,626,140,155,613,"1,534"
Nov-93,597,150,180,"1,158","2,085"
Dec-93,688,112,76,224,"1,100"
Jan-94,434,39,169,20,662
Feb-94,293,28,92,463,876
Mar-94,487,50,213,254,"1,004"
Apr-94,975,234,290,351,"1,850"
May-94,"1,035",130,139,37,"1,341"
Jun-94,"1,012",232,127,237,"1,608"
Jul-94,"1,232",130,216,543,"2,121"
Aug-94,"1,130",70,432,187,"1,819"
Sep-94,"1,179",202,216,453,"2,050"
Oct-94,"1,343",148,297,637,"2,425"
Nov-94,981,98,323,374,"1,776"
Dec-94,710,48,78,75,911
Jan-95,446,34,190,284,954
Feb-95,456,2,246,475,"1,179"
Mar-95,375,34,176,717,"1,302"
Apr-95,669,130,394,360,"1,553"
May-95,687,98,167,150,"1,102"
Jun-95,875,80,183,485,"1,623"
Jul-95,391,40,250,231,912
Aug-95,544,86,234,532,"1,396"
Sep-95,621,162,265,395,"1,443"
Oct-95,601,50,153,218,"1,022"
Nov-95,590,116,643,619,"1,968"
Dec-95,624,64,422,761,"1,871"
Jan-96,522,12,164,340,"1,038"
Feb-96,349,26,158,283,816
Mar-96,535,40,77,271,923
Apr-96,713,98,171,81,"1,063"
May-96,"1,031",328,409,332,"2,100"
Jun-96,"1,125",246,272,201,"1,844"
Jul-96,"1,147",116,553,2,"1,818"
Aug-96,847,154,405,0,"1,406"
Sep-96,"1,034",118,505,686,"2,343"
Oct-96,"1,053",136,477,121,"1,787"
Nov-96,911,184,519,245,"1,859"
Dec-96,885,154,346,616,"2,001"
Jan-97,542,130,185,451,"1,308"
Feb-97,840,208,260,178,"1,486"
Mar-97,787,184,199,242,"1,412"
Apr-97,"1,272",170,461,720,"2,623"
May-97,"1,524",270,604,0,"2,398"
Jun-97,"1,065",140,443,0,"1,648"
Jul-97,"1,469",180,587,188,"2,424"
Aug-97,"1,495",407,441,255,"2,598"
Sep-97,"1,561",352,426,293,"2,632"
Oct-97,"1,465",124,672,114,"2,375"
Nov-97,"1,209",134,934,112,"2,389"
Dec-97,974,320,357,630,"2,281"
Jan-98,889,134,485,184,"1,692"
Feb-98,817,132,408,81,"1,438"
Mar-98,626,334,442,821,"2,223"
Apr-98,"1,467",228,444,743,"2,882"
May-98,"1,316",230,590,181,"2,317"
Jun-98,987,158,334,140,"1,619"
Jul-98,597,96,166,409,"1,268"
Aug-98,"1,051",224,292,532,"2,099"
Sep-98,"1,139",424,622,481,"2,666"
Oct-98,"1,361",416,596,430,"2,803"
Nov-98,"1,194",378,585,168,"2,325"
Dec-98,"1,252",478,397,451,"2,578"
Jan-99,666,420,166,327,"1,579"
Feb-99,912,248,437,535,"2,132"
Mar-99,874,290,437,720,"2,321"
Apr-99,"1,564",512,286,"1,175","3,537"
May-99,"1,566",488,716,"1,248","4,018"
Jun-99,"1,481",526,344,663,"3,014"
Jul-99,"1,514",272,399,331,"2,516"
Aug-99,"1,390",344,415,"1,117","3,266"
Sep-99,"1,347",412,502,344,"2,605"
Oct-99,"1,250",354,526,965,"3,095"
Nov-99,"1,450",697,648,"1,038","3,833"
Dec-99,"1,521",370,897,200,"2,988"
Jan-00,"1,058",416,342,0,"1,816"
Feb-00,802,314,271,"1,576","2,963"
Mar-00,"1,180",288,327,630,"2,425"
Apr-00,"1,870",732,722,968,"4,292"
May-00,"1,487",372,384,358,"2,601"
Jun-00,"1,531",382,310,366,"2,589"
Jul-00,"1,585",678,695,"1,487","4,445"
Aug-00,"1,490",402,555,658,"3,105"
Sep-00,"1,382",654,481,"1,216","3,733"
Oct-00,"1,421",482,688,"1,631","4,222"
Nov-00,"1,816",402,762,747,"3,727"
Dec-00,"1,497",464,626,477,"3,064"
01-Jan,"1,134",482,222,"1,307","3,145"
01-Feb,876,444,241,668,"2,229"
01-Mar,"1,057",474,420,876,"2,827"
01-Apr,"1,506",550,468,"1,337","3,861"
01-May,"1,464",462,367,"1,613","3,906"
01-Jun,"1,535",514,487,"1,394","3,930"
01-Jul,"1,112",416,333,449,"2,310"
01-Aug,"1,671",638,703,"1,571","4,583"
01-Sep,"1,316",500,312,994,"3,122"
01-Oct,"2,027",290,524,958,"3,799"
01-Nov,"1,823",470,454,"1,242","3,989"
01-Dec,"1,323",376,528,"1,089","3,316"
02-Jan,"1,120",606,414,"1,957","4,097"
02-Feb,"1,055",364,339,753,"2,511"
02-Mar,"1,441",436,333,854,"3,064"
02-Apr,"1,964",446,665,804,"3,879"
02-May,"2,254",486,582,233,"3,555"
02-Jun,"2,256",420,707,122,"3,505"
02-Jul,"2,150",626,609,"1,330","4,715"
02-Aug,"2,135",414,585,954,"4,088"
02-Sep,"1,811",304,537,527,"3,179"
02-Oct,"2,524",614,534,538,"4,210"
02-Nov,"1,677",190,395,"1,964","4,226"
02-Dec,"1,728",302,494,252,"2,776"
03-Jan,926,204,349,448,"1,927"
03-Feb,"1,002",290,251,"3,233","4,776"
03-Mar,"1,031",382,267,"1,360","3,040"
03-Apr,"1,828",312,491,819,"3,450"
03-May,"2,004",507,570,818,"3,899"
03-Jun,"2,160",478,335,978,"3,951"
03-Jul,"1,988",575,614,812,"3,989"
03-Aug,"1,757",482,649,"1,316","4,204"
03-Sep,"1,701",376,687,"1,366","4,130"
03-Oct,"1,993",330,686,"3,061","6,070"
03-Nov,"1,758",558,583,259,"3,158"
03-Dec,"1,478",292,267,844,"2,881"
04-Jan,824,274,308,130,"1,536"
04-Feb,"1,129",178,359,130,"1,796"
04-Mar,"1,458",228,461,"1,352","3,499"
04-Apr,"1,620",310,515,"1,741","4,186"
04-May,"2,268",496,784,643,"4,191"
04-Jun,"1,835",394,511,"1,534","4,274"
04-Jul,"2,050",308,590,311,"3,259"
04-Aug,"1,945",240,449,"2,924","5,558"
04-Sep,"1,611",266,450,"1,236","3,563"
04-Oct,"1,825",276,605,"1,818","4,524"
04-Nov,"1,385",376,397,"1,017","3,175"
04-Dec,"1,126",180,444,804,"2,554"
05-Jan,886,212,335,248,"1,681"
05-Feb,767,242,604,683,"2,296"
05-Mar,900,116,399,"1,526","2,941"
05-Apr,"1,855",470,407,"1,716","4,448"
05-May,"1,748",348,570,647,"3,313"
05-Jun,"1,698",330,936,"2,325","5,289"
05-Jul,"1,408",296,836,"3,407","5,947"
05-Aug,"1,270",226,606,811,"2,913"
05-Sep,"1,393",486,265,770,"2,914"
05-Oct,"1,357",161,337,495,"2,350"
05-Nov,"1,152",284,849,"1,818","4,103"
05-Dec,"1,363",204,372,"1,462","3,401"
06-Jan,956,218,449,"1,037","2,660"
06-Feb,841,210,488,0,"1,539"
06-Mar,828,138,415,"1,710","3,091"
06-Apr,"1,061",314,426,"1,446","3,247"
06-May,"1,320",370,358,"1,609","3,657"
06-Jun,"1,487",216,661,"2,194","4,558"
06-Jul,"1,386",158,557,"1,525","3,626"
06-Aug,"1,231",296,337,"1,142","3,006"
06-Sep,"1,296",174,151,497,"2,118"
06-Oct,"1,387",182,326,"1,820","3,715"
06-Nov,"1,252",354,501,"1,274","3,381"
06-Dec,"1,075",262,508,637,"2,482"
07-Jan,"1,169",338,578,389,"2,474"
07-Feb,599,118,199,290,"1,206"
07-Mar,715,190,309,691,"1,905"
07-Apr,"1,113",246,582,953,"2,894"
07-May,"1,350",332,882,961,"3,525"
07-Jun,"1,546",326,478,617,"2,967"
07-Jul,"1,655",186,691,719,"3,251"
07-Aug,"1,319",210,433,901,"2,863"
07-Sep,"1,245",256,267,"1,841","3,609"
07-Oct,"1,331",196,192,"1,611","3,330"
07-Nov,"1,801",362,409,"1,279","3,851"
07-Dec,926,104,260,128,"1,418"
08-Jan,922,128,454,"1,101","2,605"
08-Feb,784,114,140,"1,866","2,904"
08-Mar,801,132,354,"2,149","3,436"
08-Apr,"1,102",168,428,"1,886","3,584"
08-May,"1,313",194,455,"1,515","3,477"
08-Jun,"1,070",254,477,"2,822","4,623"
08-Jul,968,266,431,498,"2,163"
08-Aug,"1,092",208,505,"3,160","4,965"
08-Sep,816,238,347,"3,207","4,608"
08-Oct,978,132,378,"2,932","4,420"
08-Nov,725,292,320,"1,525","2,862"
08-Dec,737,236,323,"1,269","2,565"
09-Jan,451,224,202,679,"1,556"
09-Feb,364,50,183,830,"1,427"
09-Mar,303,156,189,"2,273","2,921"
09-Apr,440,126,248,493,"1,307"
09-May,682,232,217,800,"1,931"
09-Jun,633,154,181,"1,433","2,401"
09-Jul,686,208,220,615,"1,729"
09-Aug,558,142,195,"1,235","2,130"
09-Sep,906,228,252,"1,467","2,853"
09-Oct,"1,009",136,304,"2,159","3,608"
09-Nov,"1,044",236,400,687,"2,367"
09-Dec,"1,054",140,327,198,"1,719"
10-Jan,947,130,185,193,"1,455"
10-Feb,703,78,271,"1,390","2,442"
